type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
savings,eu-west-1,db.r6i.2xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,12180.00,0.000000,0.000000,0.463153,11.115674,P5RE5G4EGS8PDQK2
savings,eu-west-1,db.r6i.2xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,6478.00,0.246500,5.916000,0.492831,11.827932,P5RE5G4EGS8PDQK2
savings,eu-west-1,db.r6i.2xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,6176.00,0.000000,0.000000,0.704540,16.908966,P5RE5G4EGS8PDQK2
savings,eu-west-1,db.r6i.2xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,3153.00,0.359900,8.637600,0.719585,17.270044,P5RE5G4EGS8PDQK2
onDemand,eu-west-1,db.r7i.16xlarge,single-az,aurora-postgresql,postgresql,,,,10.240000,245.760000,10.240000,245.760000,PMXQHNJNHW49TSRX
savings,eu-west-1,db.r7i.16xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,56511.00,0.000000,0.000000,6.446612,154.718686,PMXQHNJNHW49TSRX
savings,eu-west-1,db.r7i.16xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,29153.00,3.328000,79.872000,6.653690,159.688564,PMXQHNJNHW49TSRX
savings,eu-west-1,db.r7i.16xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,6.861000,164.664000,6.861000,164.664000,PMXQHNJNHW49TSRX
onDemand,eu-west-1,db.r6i.xlarge,single-az,aurora-postgresql,postgresql,,,,0.832000,19.968000,0.832000,19.968000,PNBMRADJP5CBN6VM
onDemand,eu-west-1,db.r6g.16xlarge,single-az,aurora-postgresql,postgresql,,,,11.915000,285.960000,11.915000,285.960000,PR9UGGYUAYF82X2V
onDemand,eu-west-1,db.r7g.2xlarge,single-az,aurora-postgresql,postgresql,,,,1.581000,37.944000,1.581000,37.944000,QK795NPAXC33QZEJ
onDemand,eu-west-1,db.r8g.8xlarge,single-az,aurora-postgresql,postgresql,,,,4.864000,116.736000,4.864000,116.736000,QPRXJ8R95RFG32ZG
savings,eu-west-1,db.r8g.8xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,3.259000,78.216000,3.259000,78.216000,QPRXJ8R95RFG32ZG
savings,eu-west-1,db.r8g.8xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,13850.00,1.581000,37.944000,3.160968,75.863233,QPRXJ8R95RFG32ZG
savings,eu-west-1,db.r8g.8xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,26841.00,0.000000,0.000000,3.061944,73.486653,QPRXJ8R95RFG32ZG
onDemand,eu-west-1,db.r6gd.12xlarge,single-az,aurora-postgresql,postgresql,,,,10.708000,256.992000,10.708000,256.992000,QQ94UAFH2XT9GMQG
onDemand,eu-west-1,db.r6i.4xlarge,single-az,aurora-postgresql,postgresql,,,,3.328000,79.872000,3.328000,79.872000,QV9V6RT9B59Z8YT2
onDemand,eu-west-1,db.r5.24xlarge,single-az,aurora-postgresql,postgresql,,,,19.968000,479.232000,19.968000,479.232000,QVNFJEH2BT4GS4NR
onDemand,eu-west-1,db.r6i.32xlarge,single-az,aurora-postgresql,postgresql,,,,20.480000,491.520000,20.480000,491.520000,QZAZH9QC4STP9Y2M
savings,eu-west-1,db.r6i.32xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,194880.00,0.000000,0.000000,7.410449,177.850787,QZAZH9QC4STP9Y2M
savings,eu-west-1,db.r6i.32xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,103643.00,3.943800,94.651200,7.884898,189.237556,QZAZH9QC4STP9Y2M
savings,eu-west-1,db.r6i.32xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,98816.00,0.000000,0.000000,11.272644,270.543463,QZAZH9QC4STP9Y2M
